Reason,count
"- ""Saving more lives is greater good""",41
"- ""Save the more vulnerable""",33
"- ""Save the one who will have the potential to do more future contribution to society""",16
"- ""Sacrifice the guilty one""",14
"- ""Save the one with longer life ahead of them""",13
"- ""No reason is mentioned""",9
"- ""Human lives are more valuable than animal lives""",8
"- ""Save the stronger""",4
"- ""Save the more vulnerable (specifically due to the hope that both sides may survive)""",4
"- ""Save the one who have done more past contribution to",1
"- ""Save the one who have done more past contribution to society""",1
"- ""Save the one with more dependents living on them""",1
